Unnamed: 0,Название СТЕ,ОКПД-2
376,"папка-скоросшивательпластик.berlingo,а4,180мкм,краснаяспрозр.верхом",22.29.25.000
377,berlingoзажимдлябумагширина51мм12шт,25.99.23.000
378,berlingoкорректирующаяжидкостьскистью20мл,20.59.59.900
379,"папка-уголокна1отделение,плотная180мкмцветвассортименте",22.29.25.000
380,"блокнота5,60л.,гребень,жесткаяподложка,клетка,staff,4вида,146х206мм",17.23.13.191
381,папка-скоросшивательспружинныммеханизмомattacheа4синяя0.7мм,17.23.13.193
382,"папка-скоросшивательпластик.berlingo,а4,180мкм,чернаяспрозр.верхом",22.29.25.000
383,бейджвертикальный90х55t-202v,22.29.25.000
384,berlingoпапкаstandardс80вкладышамицветсиний,22.29.25.000
385,"точилкаbrauberg""style"",металлическаяклиновидная,вкартоннойкоробке",25.71.13.110
386,berlingoножницыcomfort16см,25.71.11.120
387,"скрепки25мм,berlingo,100шт.,никелированныетреугольные,сотогнутымносиком,карт.упак.",25.99.23.000
388,"доступксистеме""мойинтегрум""",62.01.29.000
389,обслуживаниенежилыхзданий,94.11.10.000
390,техническоеобслуживаниезданийипомещений,81.10.10.000
391,дезинфекцияпомещений,81.29.11.000
392,замокдляшкафа,31.01.11.121
393,замок,25.72.11.110
394,"скользящийканалdormag-nдлядоводчиковts91,92,93(серый)",25.72.14.120
395,доводчикdormats-92вбезскользящегоканала(серый),25.72.14.120
396,пластинадляустановкиts-92настекляннуюдверь,32.50.50.190
397,установкасистемыскуд,80.20.10.000
398,подписканапериодическиепечатныеиздания,58.13.10.000
399,предоставлениедоступакинформационномуресурсуспарк(4доступа),63.12.10.000
400,оказаниеуслугпоповышениюквалификациипотеме:«оконтрактнойсистемевсферезакупок»,85.42.19.900
401,"установкаоконныхблоковадминистративныхзданий,м2",43.32.10.110
402,оценкаимущественныхкомплексов,74.90.12.123
403,утилизацияоборудования,28.21.12.000
404,"термотрансферныеэтикеткиполипропилен,58х40мм,700этикетокврул.",17.12.14.160
405,спрейдляудаленияэтикеток3590avery150мл,32.50.13.110
406,специальнаяоценкаусловийтрудавсоответствии426-фз,71.20.19.130
407,техническоеобслуживаниезданийипомещений,81.10.10.000
408,кабель-каналсдвойнымзамкомбелый25х16,27.32.13.124
409,дезинфицирующийгельдлярукmeridaharmony-u,20.20.14.000
410,"ключразводной888683321010"",собрезиненнойрукояткой",25.73.30.171
411,"ящикдляинструментов«гефест»,21"",28?53?29см,3боксадлямелочей,2выдвижныеконсоли,idea",31.01.11.123
412,растворитель646,20.30.22.220
413,шуруп-крюк(hs)6х60,25.94.11.120
414,очиститель,32.50.50.190
415,"тонкогубцызубр""эксперт"",160мм2201-3-16",28.29.41.110
416,"ключразводной88868332088"",собрезиненнойрукояткой",25.73.30.171
417,"уровень60см,stayerprostabil(3471-060_z01)",13.92.21.120
418,"наборключейимбусовых1,5-10ммникель",24.20.14.110
419,уголоккрепежныйусиленный50x50x35x2мм,24.10.71.110
420,перфораторmakitahr2630,28.24.11.000
421,шлифмашинаугловаязубрушм-125-1100,28.24.11.000
422,"кабельввгнг-ls3х2,5",80.20.10.000
423,наборбитдляшуруповертазубрмастер25425-h37,28.24.11.000
424,изолента,22.29.21.000
425,усиленныепрямыеножницыпометаллу255ммgrosspiranha,25.73.20.110
426,силиконоваясмазка400млakfixya14,19.20.29.210
427,пистолетдляпены,25.73.30.299
428,лента-фумvaltecvt.ptfe.0.12102074786,22.29.21.000
429,"пленкаукрывная2,7мх20м,смалярнойлентой(длякреплениякповерхности),полиэтилен,unibob",22.29.21.000
430,"наборкомбинированныхгаечныхключей12шт,6-22ммkraftool27079-h12_z01",25.73.30.171
